time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2017-11-08T14:30:58.007Z,46.519110,6.563606,475.0,9.0,30.9,1.21,0,gps,0.7,1.0,1.2,48.0,,,,64,
2017-11-08T14:31:02.644Z,46.518808,6.563725,516.0,7.0,70.5,1.16,0,gps,0.8,0.9,1.2,48.0,,,ON_FOOT,64,
2017-11-08T14:31:06.624Z,46.519060,6.563825,483.0,11.0,28.7,0.86,0,gps,0.8,1.1,1.4,48.0,,,ON_FOOT,64,
2017-11-08T14:31:11.629Z,46.519139,6.563957,522.0,17.0,65.3,1.52,0,gps,0.7,0.9,1.2,48.0,,,ON_FOOT,64,
2017-11-08T14:31:16.632Z,46.519453,6.563915,498.0,15.0,326.7,0.51,0,gps,0.6,0.8,1.0,48.0,,,ON_FOOT,64,
2017-11-08T14:31:19.440Z,46.519529,6.563828,485.0,5.0,,0.0,0,gps,0.7,0.9,1.2,48.0,,,ON_FOOT,64,
2017-11-08T14:31:23.638Z,46.519604,6.563764,476.0,14.0,346.9,4.48,0,gps,0.7,0.9,1.1,48.0,,,ON_FOOT,64,
2017-11-08T14:31:27.635Z,46.519478,6.564278,471.0,16.0,83.1,1.19,0,gps,0.8,0.9,1.2,48.0,,,ON_FOOT,64,
2017-11-08T14:31:30.629Z,46.519403,6.564249,461.0,14.0,83.1,1.02,0,gps,0.7,0.9,1.2,48.0,,,,64,
2017-11-08T14:31:35.636Z,46.519471,6.564285,459.0,19.0,43.9,0.96,0,gps,0.7,1.0,1.2,48.0,,,ON_FOOT,64,
2017-11-08T14:31:38.378Z,46.519307,6.564376,471.0,5.0,33.1,2.02,0,gps,0.9,1.2,1.5,48.0,,,,64,
2017-11-08T14:31:43.622Z,46.519338,6.564377,457.0,8.0,122.7,1.26,0,gps,1.0,1.4,1.8,48.0,,,,64,
2017-11-08T14:31:48.620Z,46.519443,6.564630,507.0,22.0,76.6,1.28,0,gps,1.0,1.2,1.6,48.0,,,ON_FOOT,64,
2017-11-08T14:31:51.389Z,46.519409,6.564582,461.0,7.0,128.9,1.54,0,gps,0.8,1.0,1.2,48.0,,,,64,
2017-11-08T14:31:55.632Z,46.519414,6.564818,501.0,9.0,109.0,0.99,0,gps,0.9,1.2,1.5,48.0,,,ON_FOOT,64,
2017-11-08T14:32:00.662Z,46.519338,6.564734,479.0,21.0,102.8,1.41,0,gps,0.9,1.0,1.3,48.0,,,ON_FOOT,64,
2017-11-08T14:32:05.667Z,46.519350,6.564879,493.0,14.0,75.8,1.0,0,gps,0.8,1.0,1.3,48.0,,,ON_FOOT,64,
2017-11-08T14:32:09.662Z,46.519428,6.564937,502.0,14.0,91.6,2.37,0,gps,1.0,1.0,1.4,48.0,,,ON_FOOT,64,
2017-11-08T14:32:14.633Z,46.519405,6.564965,484.0,14.0,89.8,1.68,0,gps,1.1,1.5,1.8,48.0,,,ON_FOOT,64,
2017-11-08T14:32:19.665Z,46.519568,6.565194,504.0,13.0,50.6,2.08,0,gps,0.7,0.9,1.1,48.0,,,ON_FOOT,64,
2017-11-08T14:32:23.650Z,46.519360,6.565219,467.0,12.0,50.6,0.51,0,gps,0.7,0.9,1.1,48.0,,,ON_FOOT,63,
2017-11-08T14:32:28.644Z,46.519433,6.565431,483.0,14.0,91.9,1.69,0,gps,0.8,1.1,1.4,48.0,,,ON_FOOT,63,
2017-11-08T14:32:31.453Z,46.519292,6.565564,458.0,7.0,91.9,0.45,0,gps,0.7,0.9,1.1,48.0,,,ON_FOOT,63,
2017-11-08T14:32:36.648Z,46.519176,6.565606,466.0,12.0,172.9,2.01,0,gps,0.8,1.0,1.3,48.0,,,ON_FOOT,63,
2017-11-08T14:32:40.657Z,46.519125,6.565532,450.0,8.0,143.0,3.5,0,gps,0.7,0.8,1.1,48.0,,,ON_FOOT,63,
2017-11-08T14:32:43.394Z,46.519012,6.565454,461.0,6.0,212.0,1.59,0,gps,1.5,1.1,1.8,48.0,,,ON_FOOT,63,
2017-11-08T14:32:47.640Z,46.519036,6.565696,436.0,12.0,170.1,2.2,0,gps,1.9,1.6,2.5,48.0,,,ON_FOOT,63,
2017-11-08T14:32:52.658Z,46.518923,6.565632,459.0,12.0,198.5,1.86,0,gps,1.3,1.5,2.0,48.0,,,ON_FOOT,63,
2017-11-08T14:32:55.406Z,46.518914,6.565628,457.0,9.0,198.7,1.81,0,gps,0.7,1.0,1.2,48.0,,,,63,
2017-11-08T14:33:00.631Z,46.518707,6.565500,481.0,10.0,196.7,1.57,0,gps,0.8,1.0,1.3,48.0,,,ON_FOOT,63,
2017-11-08T14:33:05.654Z,46.518696,6.565562,475.0,17.0,216.2,1.55,0,gps,0.7,0.8,1.0,48.0,,,ON_FOOT,63,
2017-11-08T14:33:10.654Z,46.518564,6.565585,472.0,13.0,208.3,1.7,0,gps,0.9,1.0,1.3,48.0,,,ON_FOOT,63,
2017-11-08T14:33:13.434Z,46.518361,6.565413,490.0,9.0,256.6,1.95,0,gps,1.1,1.1,1.6,48.0,,,ON_FOOT,63,
2017-11-08T14:33:19.629Z,46.518394,6.565147,495.0,22.0,267.1,1.82,0,gps,0.8,1.1,1.4,48.0,,,ON_FOOT,63,
2017-11-08T14:33:23.616Z,46.518407,6.565120,485.0,16.0,214.9,1.98,0,gps,0.6,0.8,1.1,48.0,,,ON_FOOT,62,
2017-11-08T14:33:28.617Z,46.518476,6.564934,466.0,12.0,254.7,1.53,0,gps,0.7,1.0,1.2,48.0,,,ON_FOOT,62,
2017-11-08T14:33:33.630Z,46.518518,6.564793,472.0,16.0,254.6,1.64,0,gps,0.7,0.9,1.1,48.0,,,ON_FOOT,62,
2017-11-08T14:33:37.629Z,46.518474,6.564778,460.0,13.0,228.6,1.46,0,gps,0.8,0.9,1.2,48.0,,,ON_FOOT,62,
2017-11-08T14:33:40.444Z,46.518472,6.564751,478.0,9.0,250.4,1.23,0,gps,0.8,1.0,1.3,48.0,,,,62,
2017-11-08T14:33:43.792Z,46.518442,6.564654,480.0,8.0,250.4,0.69,0,gps,0.7,0.9,1.1,48.0,,,ON_FOOT,62,
